price,area,price_per_m2,location,bedroom,bathroom
"9,6 tỷ",63 m²,"152,38 tr/m²","Văn Giang, Hưng Yên",6,5
"52,2 tỷ",150 m²,348 tr/m²,"Tây Hồ, Hà Nội",5,7
"4,2 tỷ",72 m²,"58,33 tr/m²","Quận 7, Hồ Chí Minh",2,2
"4,3 tỷ",66 m²,"65,15 tr/m²","Quận 7, Hồ Chí Minh",2,2
"6,69 tỷ",120 m²,"55,75 tr/m²","Long Biên, Hà Nội",3,2
"7,7 tỷ","58,5 m²","131,62 tr/m²","Văn Giang, Hưng Yên",6,4
"11,7 tỷ","139,6 m²","83,81 tr/m²","Bắc Giang, Bắc Giang",6,6
"3,9 tỷ",70 m²,"55,71 tr/m²","Sơn Trà, Đà Nẵng",2,1
"6,8 tỷ",102 m²,"66,67 tr/m²","Long Biên, Hà Nội",3,2
"4,5 tỷ",96 m²,"46,88 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"2,4 tỷ",43 m²,"55,81 tr/m²","Gia Lâm, Hà Nội",1,1
Giá thỏa thuận,75 m²,,"Quận 2, Hồ Chí Minh",2,2
Giá thỏa thuận,64 m²,,"Gia Lâm, Hà Nội",2,2
"2,8 tỷ",41 m²,"68,29 tr/m²","Gia Lâm, Hà Nội",3,
"7,49 tỷ",54 m²,"138,7 tr/m²","Văn Giang, Hưng Yên",3,
"12,9 tỷ",100 m²,129 tr/m²,"Văn Giang, Hưng Yên",,
Giá thỏa thuận,43 m²,,"Gia Lâm, Hà Nội",1,1
"7,38 tỷ",121 m²,"60,99 tr/m²","Tân Phú, Hồ Chí Minh",3,
9 tỷ,78 m²,"115,38 tr/m²","Văn Giang, Hưng Yên",,
"2,7 tỷ",56 m²,"48,21 tr/m²","Bình Tân, Hồ Chí Minh",2,
