price,area,price_per_m2,location,bedroom,bathroom
"15,2 tỷ",70 m²,"217,14 tr/m²","Quận 2, Hồ Chí Minh",2,2
"5,1 tỷ",83 m²,"61,45 tr/m²","Bắc Từ Liêm, Hà Nội",2,2
6 tỷ,"70,5 m²","85,11 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"3,16 tỷ","83,9 m²","37,65 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"10,5 tỷ",118 m²,"88,98 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"1,72 tỷ","28,2 m²","60,99 tr/m²","Gia Lâm, Hà Nội",1,1
7 tỷ,90 m²,"77,78 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"4,12 tỷ",75 m²,55 tr/m²,"Hoàng Mai, Hà Nội",2,2
30 tỷ,180 m²,"166,67 tr/m²","Văn Giang, Hưng Yên",6,4
"7,3 tỷ",77 m²,"94,8 tr/m²","Quận 2, Hồ Chí Minh",2,2
"2,8 tỷ","44,4 m²","63,06 tr/m²","Gia Lâm, Hà Nội",1,1
"15,9 tỷ",77 m²,"206,49 tr/m²","Quận 2, Hồ Chí Minh",2,2
777 triệu,210 m²,"3,7 tr/m²","Bàu Bàng, Bình Dương",,
Giá thỏa thuận,170 m²,,"Hoài Đức, Hà Nội",,
Giá thỏa thuận,110 m²,,"Bắc Từ Liêm, Hà Nội",3,2
Giá thỏa thuận,71 m²,,"Quận 2, Hồ Chí Minh",2,2
"14,5 tỷ","62,5 m²",232 tr/m²,"Đông Anh, Hà Nội",,
Giá thỏa thuận,32 m²,,"Gia Lâm, Hà Nội",1,1
"2,35 tỷ",120 m²,"19,58 tr/m²","Phù Cừ, Hưng Yên",,
"4,8 tỷ","115,5 m²","41,56 tr/m²","Thủ Dầu Một, Bình Dương",,
