price,area,price_per_m2,location,bedroom,bathroom
6 tỷ,"70,5 m²","85,11 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"2,8 tỷ",56 m²,50 tr/m²,"Bình Tân, Hồ Chí Minh",2,1
"4,2 tỷ","78,6 m²","53,44 tr/m²","Sơn Trà, Đà Nẵng",2,2
"3,7 tỷ",68 m²,"54,41 tr/m²","Hoàng Mai, Hà Nội",2,2
10 tỷ,120 m²,"83,33 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
47 tỷ,137 m²,"343,07 tr/m²","Quận 2, Hồ Chí Minh",3,2
"3,47 tỷ",68 m²,51 tr/m²,"Hoàng Mai, Hà Nội",2,2
"3,15 tỷ",52 m²,"60,58 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"48,4 tỷ",150 m²,"322,67 tr/m²","Tây Hồ, Hà Nội",5,4
9 tỷ,78 m²,"115,38 tr/m²","Văn Giang, Hưng Yên",7,5
"26,9 tỷ",80 m²,"336,25 tr/m²","Đông Anh, Hà Nội",5,6
"2,74 tỷ",72 m²,38 tr/m²,"Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"4,5 tỷ",66 m²,"68,18 tr/m²","Quận 7, Hồ Chí Minh",2,2
Giá thỏa thuận,66 m²,,"Gia Lâm, Hà Nội",2,2
7 tỷ,63 m²,"111,11 tr/m²","Văn Giang, Hưng Yên",,
Giá thỏa thuận,"28,5 m²",,"Nam Từ Liêm, Hà Nội",1,
Giá thỏa thuận,120 m²,,"Đan Phượng, Hà Nội",4,4
Giá thỏa thuận,68 m²,,"Đông Anh, Hà Nội",2,2
4 tỷ,85 m²,"47,06 tr/m²","Bình Chánh, Hồ Chí Minh",,
Giá thỏa thuận,72 m²,,"Đan Phượng, Hà Nội",4,3
