price,area,price_per_m2,location,bedroom,bathroom
"8,9 tỷ","97,3 m²","91,47 tr/m²","Thanh Xuân, Hà Nội",3,3
"7,94 tỷ","78,5 m²","101,15 tr/m²","Quận 1, Hồ Chí Minh",2,2
"3,75 tỷ",68 m²,"55,15 tr/m²","Hoàng Mai, Hà Nội",2,2
"5,4 tỷ","68,5 m²","78,83 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"2,82 tỷ","69,7 m²","40,5 tr/m²","Dĩ An, Bình Dương",2,2
"1,65 tỷ","55,6 m²","29,62 tr/m²","Dĩ An, Bình Dương",2,1
"3,2 tỷ",58 m²,"55,17 tr/m²","Sơn Trà, Đà Nẵng",1,1
"18,9 tỷ",80 m²,"236,25 tr/m²","Đông Anh, Hà Nội",5,4
"6,8 tỷ",85 m²,80 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,2
525 triệu,54 m²,"9,72 tr/m²","Quận 7, Hồ Chí Minh",2,1
75 tỷ,180 m²,"416,67 tr/m²","Quận 7, Hồ Chí Minh",5,5
"14,98 tỷ",65 m²,"230,46 tr/m²","Đông Anh, Hà Nội",5,5
"3,1 tỷ",69 m²,"44,93 tr/m²","Quận 9, Hồ Chí Minh",2,2
"10,5 tỷ",110 m²,"95,46 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"19,9 tỷ",77 m²,"258,44 tr/m²","Quận 2, Hồ Chí Minh",2,2
"13,6 tỷ",84 m²,"161,9 tr/m²","Văn Giang, Hưng Yên",8,8
"16,9 tỷ",120 m²,"140,83 tr/m²","Văn Giang, Hưng Yên",8,4
46 tỷ,498 m²,"92,37 tr/m²","Bình Tân, Hồ Chí Minh",,
Giá thỏa thuận,40 m²,,"Đông Anh, Hà Nội",1,
Giá thỏa thuận,31 m²,,"Hà Đông, Hà Nội",3,
